False,77.0,94000.0,5,5,5,345,1,1,1,1,True,False,False
True,81.0,49000.0,10,10,5,82,1,1,1,1,False,False,False
True,37.0,78000.0,2,10,10,1054,1,1,1,1,False,False,True
True,52.0,47000.0,3,7,7,279,1,1,1,1,True,False,True
True,57.0,93000.0,3,7,7,825,1,1,1,1,False,False,True
True,59.0,51000.0,10,10,5,96,1,1,1,1,False,False,False
True,56.0,49000.0,5,5,5,842,1,1,1,1,True,False,False
True,56.0,49000.0,3,7,7,915,1,1,1,1,True,False,True
False,70.0,91000.0,2,10,10,20,1,1,1,1,False,False,True
True,59.0,60000.0,10,10,5,319,1,1,1,1,False,False,False
False,47.0,72000.0,10,10,5,314,1,1,1,1,True,False,False
False,29.0,62000.0,2,10,10,119,1,1,1,1,True,False,True
True,26.0,51000.0,5,5,5,513,1,1,1,1,True,False,False
True,58.0,39000.0,2,10,10,1560,1,1,1,1,True,False,True
True,24.0,67000.0,5,5,5,1245,1,1,1,1,False,False,False
True,30.0,45000.0,5,5,5,492,1,1,1,1,False,False,False
True,46.0,56000.0,10,10,7,193,0,1,1,1,False,False,False
False,83.0,40000.0,3,7,7,1089,1,1,1,1,True,False,True
False,48.0,42000.0,10,10,7,1526,0,1,1,1,True,False,False
True,43.0,70000.0,2,10,10,588,1,1,1,1,False,False,True
True,32.0,64000.0,3,7,7,928,1,1,1,1,False,False,True
False,59.0,96000.0,3,7,7,1022,1,1,1,1,False,False,True
True,52.0,63000.0,5,20,10,704,1,1,0,0,False,False,True
True,65.0,52000.0,5,5,5,314,1,1,1,1,True,False,False
True,55.0,39000.0,2,10,7,11,1,1,1,0,True,False,True
True,34.0,36000.0,2,10,7,1420,1,1,1,0,True,False,True
True,,,3,7,7,182,1,1,1,1,False,False,True
False,46.0,64000.0,5,5,5,119,1,1,1,1,False,False,False
False,54.0,88000.0,10,10,7,851,0,1,1,1,False,False,False
True,62.0,66000.0,5,5,7,240,1,1,1,0,False,False,False
False,56.0,92000.0,3,7,7,101,1,1,1,1,True,False,True
False,62.0,51000.0,5,20,10,339,1,1,0,0,False,False,True
True,63.0,70000.0,2,10,10,469,1,1,1,1,False,False,True
True,59.0,57000.0,2,10,7,324,1,1,1,0,False,False,True
True,51.0,65000.0,5,5,5,599,1,1,1,1,False,False,False
False,50.0,39000.0,10,10,5,683,1,1,1,1,True,False,False
True,54.0,88000.0,3,7,7,679,1,1,1,1,True,False,True
True,38.0,38000.0,3,7,7,403,1,1,1,1,False,False,True
False,48.0,96000.0,5,5,5,280,1,1,1,1,True,False,False
True,39.0,67000.0,5,20,10,501,1,1,0,0,True,False,True
True,57.0,36000.0,2,10,10,1490,1,1,1,1,True,False,True
